name,HI_TOTAAL_S.0,DR_AV_MATE_VAN_VERHARDING_V.0,DR_BS_GROEN_PUBLIEK_V.0,intervention_priority,priority_class
RK_Noordoever Sloterplas,3.17,59.0,38.0,0.33634538152610444,Medium
RK_Orteliusbuurt Zuid,2.84,67.0,34.0,0.3353413654618474,Medium
RK_De Wittenbuurt Zuid,2.92,59.0,21.0,0.3343373493975904,Medium
RK_Leidsebuurt Zuidwest,2.54,73.0,20.0,0.33333333333333337,Medium
RK_Aalsmeerwegbuurt Oost,2.59,75.0,27.0,0.33293172690763057,Medium
RK_P0C0 Hooftbuurt,2.29,78.0,20.0,0.3329317269076305,Medium
RK_NDSM terrein,2.96,46.0,6.0,0.3327309236947791,Medium
RK_Oosterdokseiland,2.92,49.0,4.0,0.3319277108433735,Medium
RK_Gooise Kant,2.75,68.0,27.0,0.32891566265060246,Medium
RK_Schinkelbuurt Noord,2.5,75.0,23.0,0.32891566265060246,Medium
RK_Gaasperdam Noord,2.96,65.0,41.0,0.32469879518072287,Medium
RK_Groenmarktkadebuurt,2.71,63.0,10.0,0.3242971887550201,Medium
RK_Middenmeer Zuid,2.79,69.0,37.0,0.3242971887550201,Medium
RK_Bedrijventerrein Sloterdijk I,2.46,81.0,36.0,0.32429718875502006,Medium
RK_Surinamepleinbuurt,2.71,69.0,26.0,0.3232931726907631,Medium
RK_Parooldriehoek,2.79,70.0,41.0,0.3214859437751004,Medium
RK_Staatsliedenbuurt Noordoost,2.83,65.0,30.0,0.321285140562249,Medium
RK_Van Tuyllbuurt,2.71,71.0,34.0,0.3196787148594378,Medium
RK_Erasmusparkbuurt Oost,2.67,70.0,26.0,0.31726907630522083,Medium
RK_IJselbuurt Oost,2.67,66.0,18.0,0.3134538152610442,Medium
RK_Nieuw Sloten Noordoost,3.0,62.0,39.0,0.3126506024096386,Medium
RK_Science Park Noord,2.71,73.0,41.0,0.3126506024096386,Medium
RK_Helmersbuurt Oost,2.46,75.0,24.0,0.31244979919678717,Medium
RK_Nieuw Sloten Zuidoost,2.71,70.0,32.0,0.3120481927710843,Medium
RK_John Franklinbuurt,2.79,66.0,32.0,0.3112449799196787,Medium
RK_Passeerdersgrachtbuurt,2.5,71.0,19.0,0.3108433734939759,Medium
RK_Amstelkwartier Noord,2.63,67.0,17.0,0.3104417670682731,Medium
RK_Reigersbos Noord,3.04,63.0,48.0,0.30943775100401605,Medium
RK_Buurt 4 Oost,3.17,59.0,48.0,0.30783132530120483,Medium
RK_Vervoerscentrum,2.13,80.0,25.0,0.306425702811245,Medium
RK_Andreasterrein,3.17,53.0,36.0,0.3058232931726908,Medium
RK_Weesperzijde Midden/Zuid,2.88,60.0,26.0,0.3032128514056225,Medium
RK_Zuidas Noord,2.59,73.0,31.0,0.3018072289156627,Medium
RK_Diamantbuurt,2.71,63.0,17.0,0.30080321285140565,Medium
RK_Venserpolder Oost,3.0,63.0,47.0,0.3006024096385542,Medium
RK_Buurt 2,3.34,54.0,56.0,0.2983935742971888,Medium
RK_Kadijken,2.71,65.0,23.0,0.2967871485943775,Medium
RK_Steigereiland Noord,3.13,49.0,31.0,0.2953815261044177,Medium
RK_Museumplein,2.71,69.0,34.0,0.2947791164658635,Medium
RK_Bloemenbuurt Zuid,3.09,60.0,50.0,0.29277108433734944,Medium
RK_Kelbergen,2.92,63.0,40.0,0.2921686746987952,Medium
RK_Van Brakelkwartier,2.88,59.0,27.0,0.29036144578313255,Medium
RK_Ecowijk,2.79,66.0,38.0,0.2901606425702811,Medium
RK_Tuindorp Nieuwendam Oost,3.21,55.0,49.0,0.28955823293172694,Medium
RK_Felix Meritisbuurt,2.63,67.0,22.0,0.2889558232931727,Medium
RK_Bedrijvengebied Cruquiusweg,2.75,54.0,6.0,0.28734939759036143,Medium
RK_Het Funen,2.88,62.0,35.0,0.28634538152610445,Medium
RK_Valeriusbuurt West,2.58,72.0,31.0,0.28574297188755027,Medium
RK_Hakfort/Huigenbos,3.13,56.0,45.0,0.285140562248996,Medium
RK_Twiske West,2.88,60.0,31.0,0.2845381526104418,Medium
RK_Sloterdijk III West,2.63,70.0,31.0,0.2817269076305221,Medium
RK_Da Costabuurt Noord,2.71,65.0,26.0,0.2811244979919678,Medium
RK_Werengouw Midden,3.13,57.0,50.0,0.27991967871485945,Medium
RK_Bijlmermuseum Noord,3.42,45.0,53.0,0.27670682730923696,Medium
RK_De Kleine Wereld,3.25,52.0,52.0,0.2748995983935743,Medium
RK_Park de Meer,3.04,56.0,44.0,0.2672690763052209,Medium
RK_Tuindorp Amstelstation,2.88,63.0,44.0,0.2672690763052209,Medium
RK_Westlandgrachtbuurt,2.83,61.0,34.0,0.26666666666666666,Medium
RK_Mercatorpark,3.17,55.0,59.0,0.2632530120481928,Medium
RK_Cornelis Schuytbuurt,2.46,72.0,29.0,0.26285140562249,Low
RK_Riekerpolder,2.63,71.0,40.0,0.26285140562249,Low
RK_Buurt 5 Noord,3.13,55.0,54.0,0.25983935742971886,Low
RK_Vondelparkbuurt Oost,2.21,74.0,24.0,0.25943775100401606,Low
RK_Valeriusbuurt Oost,2.33,73.0,26.0,0.2578313253012048,Low
RK_Nieuwendammerdijk West,2.88,56.0,32.0,0.25542168674698795,Low
RK_Osdorp Midden Zuid,3.29,47.0,57.0,0.25502008032128515,Low
RK_Molenwijk,3.54,36.0,70.0,0.24759036144578317,Low
RK_Sarphatistrook,2.42,70.0,25.0,0.24538152610441766,Low
RK_G-buurt Noord,3.04,54.0,48.0,0.2431726907630522,Low
RK_Rode Kruisbuurt,2.79,64.0,47.0,0.2427710843373494,Low
RK_IJsbaanpad e0o0,2.92,55.0,38.0,0.24076305220883537,Low
RK_Spiegelbuurt,2.46,66.0,20.0,0.23815261044176708,Low
RK_Sloterdijk III Oost,1.83,74.0,23.0,0.23493975903614456,Low
RK_Java-eiland,3.09,18.0,27.0,0.23373493975903614,Low
RK_Kop Zuidas,2.33,74.0,35.0,0.2329317269076305,Low
RK_Markengouw Midden,2.96,57.0,51.0,0.23253012048192767,Low
RK_Reigersbos Zuid,3.08,52.0,54.0,0.23132530120481928,Low
RK_Slotermeer Zuid,3.13,52.0,64.0,0.23112449799196788,Low
RK_Park Haagseweg,2.63,67.0,36.0,0.23072289156626508,Low
RK_Dichtersbuurt,2.75,64.0,44.0,0.22911646586345386,Low
RK_Van Loonbuurt,2.58,63.0,21.0,0.22871485943775105,Low
RK_Leidsegracht Zuid,2.34,68.0,22.0,0.22831325301204825,Low
RK_Gouden Bocht,2.54,64.0,22.0,0.22791164658634538,Low
RK_Zuiderkerkbuurt,2.25,68.0,19.0,0.2273092369477912,Low
RK_Aalsmeerwegbuurt West,2.46,70.0,33.0,0.22650602409638554,Low
RK_Don Bosco,2.38,71.0,32.0,0.22369477911646585,Low
RK_Twiske Oost,2.79,60.0,40.0,0.22228915662650606,Low
RK_Den Texbuurt,2.75,61.0,37.0,0.22068273092369478,Low
RK_Wielingenbuurt,2.25,70.0,25.0,0.21927710843373494,Low
RK_Spaarndammerbuurt Zuidoost,2.59,65.0,30.0,0.2192771084337349,Low
RK_Johan Jongkindbuurt,2.59,67.0,36.0,0.2178714859437751,Low
RK_Leidsegracht Noord,2.59,63.0,25.0,0.2168674698795181,Low
RK_Middenmeer Noord,2.54,68.0,35.0,0.21686746987951808,Low
RK_Nieuw Sloten Noordwest,2.79,61.0,47.0,0.21265060240963857,Low
RK_Harmoniehofbuurt,2.5,62.0,19.0,0.21044176706827306,Low
RK_Buurt 10,2.88,56.0,47.0,0.20863453815261046,Low
RK_Kazernebuurt,2.79,58.0,40.0,0.20863453815261046,Low
RK_Wittenburg,2.88,49.0,37.0,0.20020080321285144,Low
RK_Bertelmanpleinbuurt,2.63,64.0,36.0,0.19899598393574297,Low
RK_Zuid II,2.84,54.0,41.0,0.19899598393574297,Low
RK_Rieteiland Oost,2.59,68.0,47.0,0.19698795180722894,Low
RK_Banne Noordwest,3.17,39.0,65.0,0.19678714859437751,Low
RK_Buitenveldert Zuidwest,2.92,54.0,53.0,0.1955823293172691,Low
RK_Vogelbuurt Noord,3.0,48.0,53.0,0.1955823293172691,Low
RK_Bijlmermuseum Zuid,3.09,42.0,60.0,0.1931726907630522,Low
RK_Kadoelen,3.08,41.0,55.0,0.1927710843373494,Low
RK_Zeeburgereiland Zuidoost,2.21,68.0,25.0,0.1927710843373494,Low
RK_Rapenburg,2.63,48.0,12.0,0.19036144578313255,Low
RK_Diepenbrockbuurt,2.54,63.0,27.0,0.1891566265060241,Low
RK_D-buurt,2.75,59.0,42.0,0.1887550200803213,Low
RK_Houthavens Oost,2.75,7.0,6.0,0.18534136546184743,Low
RK_Centrum,2.83,54.0,44.0,0.18453815261044176,Low
